libelle;libelle_plaquette;libelle_ampoule;libelle_flacon;libelle_tube;libelle_stylo;libelle_seringue;libelle_pilulier;libelle_sachet;libelle_comprime;libelle_gelule;libelle_film;libelle_poche;libelle_capsule;nb_plaquette;nb_ampoule;nb_flacon;nb_tube;nb_stylo;nb_seringue;nb_pilulier;nb_sachet;nb_comprime;nb_gelule;nb_film;nb_poche;nb_capsule;nb_ml;statut;etat commerc;agrement col;tx rembours;forme pharma;voies admin;statut admin;date declar annee;date amm annee;type proc;titulaires;substances;prix
3 plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;28;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2014;2014;Procédure décentralisée; MAJORELLE LUXEMBOURG SOPARFI (LUXEMBOURG);DÉSOGESTREL;2.83
plaquette(s) thermoformée(s) aluminium de 28 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé à croquer;orale;Autorisation active;2013;2009;Procédure de reconnaissance mutuelle; TEVA SANTE;MONTÉLUKAST ACIDE, MONTÉLUKAST SODIQUE;14.3
plaquette(s) thermoformée(s) PVC-aluminium de 30 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule à libération prolongée;orale;Autorisation active;2000;1996;Procédure nationale; MYLAN SAS;CHLORHYDRATE DE DILTIAZEM;5.66
30 sachet(s)-dose(s) papier aluminium complexe résine(s);0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;granulés à libération prolongée;orale;Autorisation active;2005;2004;Procédure nationale; SANOFI AVENTIS FRANCE;ACIDE VALPROÏQUE, VALPROATE DE SODIUM;24.27
plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;non;100%;comprimé pelliculé;orale;Autorisation active;2015;2010;Procédure nationale; TEVA SANTE;LÉTROZOLE;59.94
plaquette(s) thermoformée(s) PVC-aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;100%;comprimé;orale;Autorisation active;2001;2000;Procédure nationale; EG LABO - LABORATOIRES EUROGENERICS;FLUTAMIDE;27.17
flacon(s) polyéthylène haute densité (PEHD) de 100 capsule(s);0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;0;Présentation active;Déclaration de commercialisation;oui;100%;capsule molle;orale;Autorisation active;2015;2001;Procédure centralisée; EISAI (ROYAUME-UNI);BEXAROTÈNE;877.83
plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;orale;Autorisation active;2006;2006;Procédure de reconnaissance mutuelle; SANDOZ;GLIMÉPIRIDE;6.58
plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;oui;65%;comprimé sécable;orale;Autorisation active;2013;2002;Procédure nationale; ARROW GENERIQUES;MALÉATE D'ÉNALAPRIL;18.63
plaquette(s) polyamide aluminium PVC de 10 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;Présentation active;Déclaration de commercialisation;non;65%;comprimé pelliculé;orale;Autorisation active;2015;2012;Procédure nationale; ARROW GENERIQUES;CEFPODOXIME PROXÉTIL, CEFPODOXIME;6.13
4 sachet(s) papier aluminium polyéthylène de 1  dispositif(s);0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;dispositif;transdermique;Autorisation active;2003;2002;Procédure nationale; PIERRE FABRE MEDICAMENT;ESTRADIOL, ESTRADIOL HÉMIHYDRATÉ;6.25
1 inhalateur(s) multidose(s) avec embout(s) buccal(aux) de 60 dose(s);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;poudre pour inhalation;inhalée;Autorisation active;2012;2011;Autorisation d'importation parallèle; MEDIWIN;FUMARATE DE FORMOTÉROL DIHYDRATÉ, BUDÉSONIDE;39.66
plaquette(s) thermoformée(s) polyamide aluminium PVC de 84 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;non;65%;comprimé;orale;Autorisation active;2015;2005;Procédure nationale; ARROW GENERIQUES;PRAVASTATINE SODIQUE;22.04
plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;non;65%;comprimé sécable;orale;Autorisation active;2013;2008;Procédure de reconnaissance mutuelle; RATIOPHARM (ALLEMAGNE);PÉRINDOPRIL TERT-BUTYLAMINE, PÉRINDOPRIL, INDAPAMIDE;6.36
3 plaquette(s) thermoformée(s) polyamide PVC-Aluminium de 10 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;10;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;orale;Autorisation active;2008;1998;Procédure centralisée; BAYER PHARMA (ALLEMAGNE);TELMISARTAN;9.62
1 flacon(s) en verre brun de 30 ml avec mesurette(s) graduée(s) polypropylène polyéthylène haute densité (PEHD);0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;30;Présentation active;Déclaration de commercialisation;oui;65%;solution buvable gouttes;orale;Autorisation active;1981;1989;Procédure nationale; SANOFI AVENTIS FRANCE;TRIHEXYPHÉNIDYLE (CHLORHYDRATE DE);2.79
plaquette(s) thermoformée(s) PVC PVDC aluminium de 10 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;non;15%;comprimé dispersible orodispersible;orale;Autorisation abrogée;2014;2005;Procédure nationale; RANBAXY PHARMACIE GENERIQUES;PHLOROGLUCINOL HYDRATÉ;1.33
plaquette(s) thermoformée(s) PVC-aluminium de 25  comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;orale;Autorisation active;2002;2002;Procédure nationale; ARROW GENERIQUES;ACICLOVIR;9.46
plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2006;1987;Procédure nationale; LUNDBECK SAS;ZUCLOPENTHIXOL (DICHLORHYDRATE DE), ZUCLOPENTHIXOL;10.02
plaquette(s) thermoformée(s) PVC-Aluminium de 15  gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule à libération prolongée;orale;Autorisation active;2004;2003;Procédure de reconnaissance mutuelle; THERABEL LUCIEN PHARMA;CHLORHYDRATE DE TRAMADOL;9.79
plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;orale;Autorisation active;2012;2011;Procédure décentralisée; KRKA (SLOVENIE);HYDROCHLOROTHIAZIDE, CANDÉSARTAN CILEXÉTIL;6.36
plaquette(s) thermoformée(s) PVC PVDC aluminium de 5 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;non;65%;comprimé pelliculé sécable;orale;Autorisation active;2014;2010;Procédure nationale; TEVA SANTE;LÉVOFLOXACINE HÉMIHYDRATÉE, LÉVOFLOXACINE;10.99
plaquette(s) thermoformée(s) PVC-Aluminium de 30 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule à libération prolongée;orale;Autorisation active;2012;2009;Procédure nationale; ARROW GENERIQUES;CHLORHYDRATE DE TRAMADOL;10.32
tube(s) polypropylène de 30  comprimé(s);0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé quadrisécable;orale;Autorisation active;1981;1988;Procédure nationale; ROCHE;BROMAZÉPAM;1.71
plaquette(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé sécable;orale;Autorisation active;2014;2014;Procédure décentralisée; KRKA (SLOVENIE);OXALATE D'ESCITALOPRAM, ESCITALOPRAM;13.03
plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;non;65%;comprimé;orale;Autorisation active;2013;2006;Procédure de reconnaissance mutuelle; RATIOPHARM (ALLEMAGNE);GLIMÉPIRIDE;2.53
5 sachet(s) polyester aluminium P-A-M-éthylène (SURLYN) avec fermeture de sécurité enfant de 1 dispositif(s);0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;non;65%;dispositif;transdermique;Autorisation active;2014;2010;Procédure décentralisée; RANBAXY PHARMACIE GENERIQUES;FENTANYL;12.86
plaquette(s) thermoformée(s) PVC-Aluminium de 30  comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé à libération prolongée;orale;Autorisation active;1996;1994;Procédure de reconnaissance mutuelle; LES LABORATOIRES SERVIER;INDAPAMIDE HÉMIHYDRATÉ;5.02
flacon(s) polyéthylène haute densité (PEHD) de 28 gélule(s);0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule gastro-résistant(e);orale;Autorisation active;2012;2010;Procédure nationale; KRKA (SLOVENIE);OMÉPRAZOLE;8.14
plaquette(s) thermoformée(s) PVC-Aluminium de 90 capsule(s);1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;Présentation active;Déclaration de commercialisation;oui;65%;capsule molle;orale,vaginale;Autorisation active;2011;2003;Procédure nationale; BESINS INTERNATIONAL (FRANCE);PROGESTÉRONE;13.39
plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 30 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;30%;gélule;orale;Autorisation active;2005;2000;Procédure nationale; SANDOZ;SULPIRIDE;2.13
3 flacon(s) compte-gouttes polyéthylène de 2,5  ml;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2.5;Présentation active;Déclaration de commercialisation;oui;65%;collyre en solution;ophtalmique;Autorisation active;2009;1997;Procédure de reconnaissance mutuelle; PFIZER HOLDING FRANCE;LATANOPROST;17.05
plaquette(s) thermoformée(s) polyamide PVC-Aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;orale;Autorisation active;2007;1987;Procédure nationale; BIOGARAN;RILMÉNIDINE (DIHYDROGÉNOPHOSPHATE DE), RILMÉNIDINE;20.89
plaquette(s) thermoformée(s) PVC-aluminium de 20 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;30%;gélule;orale;Autorisation active;1999;1996;Procédure nationale; MYLAN SAS;LOPÉRAMIDE BASE, CHLORHYDRATE DE LOPÉRAMIDE;1.91
plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé sécable;orale;Autorisation active;2010;2008;Procédure de reconnaissance mutuelle; SANDOZ;HYDROCHLOROTHIAZIDE, MALÉATE D'ÉNALAPRIL;6.36
1 flacon(s) en verre - 1 flacon(s) en verre de 1,1  ml;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1.1;Présentation active;Déclaration de commercialisation;oui;65%;poudre et  solvant pour solution injectable;sous-cutanée;Autorisation active;1991;1990;Procédure nationale; STALLERGENES;GUÊPE VESPILA (VENIN DE);19.89
plaquette(s) thermoformée(s) aluminium de 84 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule;orale;Autorisation active;2010;2009;Procédure de reconnaissance mutuelle; ARROW GENERIQUES;TRANDOLAPRIL;17.3
plaquette(s) thermoformée(s) PVC PVDC aluminium de 14 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule;orale;Autorisation active;2006;2005;Procédure centralisée; EISAI (ROYAUME-UNI);ZONISAMIDE;12.26
1 flacon(s) de 10,5 ml avec compte-gouttes;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10.5;Présentation active;Déclaration de commercialisation;oui;30%;solution gouttes;auriculaire;Autorisation active;1973;1977;Procédure nationale; BOUCHARA-RECORDATI;POLYMYXINE B (SULFATE DE), DEXAMÉTHASONE (MÉTASULFOBENZOATE SODIQUE DE), NÉOMYCINE (SULFATE DE);1.69
plaquette(s) thermoformée(s) PVC-Aluminium PVDC de 24  comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;15%;comprimé;orale;Autorisation active;2002;2000;Procédure nationale; MYLAN SAS;THIOCOLCHICOSIDE;4.97
plaquette(s) PVC PVDC aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;non;30%;comprimé orodispersible;orale;Autorisation active;2008;2007;Procédure nationale; RATIOPHARM (ALLEMAGNE);DOMPÉRIDONE;1.8
plaquette(s) thermoformée(s) aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2013;2011;Procédure décentralisée; SANDOZ;IRBÉSARTAN, HYDROCHLOROTHIAZIDE;18.63
plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;non;65%;comprimé sécable;orale;Autorisation active;2014;2012;Procédure décentralisée; ARROW GENERIQUES;CANDÉSARTAN CILEXÉTIL;18.63
plaquette(s) thermoformée(s) aluminium de 14 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule gastro-résistant(e);orale;Autorisation active;2014;2010;Procédure nationale; ABBOTT PRODUCTS;OMÉPRAZOLE;3.94
2 seringue(s) préremplie(s) en verre de 0,6 ml;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0.6;Présentation active;Déclaration de commercialisation;oui;65%;solution injectable;sous-cutanée,voie extracorporelle autre;Autorisation active;1990;1985;Procédure nationale; ASPEN PHARMA TRADING (IRLANDE);NADROPARINE CALCIQUE ;13.81
1 pilulier(s) polypropylène de 30 comprimé(s);0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;orale;Autorisation active;2015;2013;Autorisation d'importation parallèle; BB FARMA (ITALIE);PÉRINDOPRIL, BÉSILATE D'AMLODIPINE, AMLODIPINE, PÉRINDOPRIL ARGININE;23.23
plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé sécable;orale;Autorisation active;2011;2009;Procédure nationale; BIOGARAN;LÉVOTHYROXINE SODIQUE;2.98
plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;orale;Autorisation active;2010;2009;Procédure décentralisée; EG LABO - LABORATOIRES EUROGENERICS;PRAMIPEXOLE BASE, DICHLORHYDRATE DE PRAMIPEXOLE MONOHYDRATÉ;22.74
plaquette(s) thermoformée(s) PVC polyéthylène acétate de polyvinyle de 112 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;112;0;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;non;65%;comprimé pelliculé;orale;Autorisation active;2015;2009;Procédure centralisée; TEVA (PAYS-BAS);RIBAVIRINE;210.25
